NAME,MSTAR,A,PER,ECC,MASS,R
,msun,au,day,,mjupiter,rjupiter
Kepler-1311 c,1.05,0.036989,2.53573424,0,0.00590412,0.109
Kepler-1260 b,1.06,0.142675,19.1187753,0,0.0130579,0.158
HD 125612 b,1.1,1.3728,559.40487,0.45899,3.06805,
Kepler-20 f,0.912,0.137859,19.57706,0,0.00323095,0.0918085
Kepler-198 b,,0.13337,17.790037,,0.0239491,0.251584
42 Dra b,0.92,1.16693,479.1,0.38,3.73203,
Kepler-808 b,0.76,0.0131437,0.63133235,0,0.0107116,0.13
Kepler-216 b,,0.0762713,7.693641,,0.0179955,0.209653
Kepler-292 d,,0.0719945,7.055679,,0.0167934,0.198947
Kepler-53 b,0.98,0.136705,18.6489525,,0.0249941,0.257599
Kepler-11 b,0.961,0.0914497,10.3039,0.045,0.00597804,0.1604
HD 153950 b,1.12,1.28031,499.4,0.34,2.74209,
Kepler-69 b,0.81,0.104565,13.722341,0.16,0.0168702,0.199661
Kepler-27 c,0.65,0.168484,31.3309,0,0.0793989,0.436759
Kepler-1434 b,1.47,0.0894052,8.05333618,0,0.00422224,0.099
HD 16141 b,1.052,0.355656,75.523,0.252,0.249652,
Kepler-221 c,,0.0623799,5.690586,,0.0256819,0.261397
WASP-97 b,1.12,0.0330527,2.07276,0,1.32,1.13
Kepler-7 b,1.347,0.0622369,4.885525,0,0.437758,1.478
HIP 91258 b,0.95,0.0566534,5.0505,0.024,1.068,
Kepler-486 b,0.79,0.176071,30.36044667,0,0.7621,0.981
WASP-24 b,1.184,0.0365155,2.3412127,0,1.091,1.3
HAT-P-29 b,1.207,0.0666842,5.723186,0.095,0.779004,1.107
Kepler-38 b,0.949,0.429659,105.595,0,0.0621296,0.387735
Kepler-546 b,1.11,0.0523044,4.14702026,0,0.204677,0.624
HD 204313 d,1.02,3.94498,2831.6,0.28,1.60642,
PSR B1257+12 B,,0.321369,66.5419,0.0186,0.0135305,
Kepler-147 b,,0.10603,12.610584,,0.0125754,0.136497
HD 50554 b,1.025,2.26097,1224,0.444,4.39876,
HD 11964 c,1.08,0.226601,37.910254,0.301733,0.0770689,
Kepler-1044 b,1.08,0.0718867,6.77408868,0,0.021778,0.238
Kepler-79 d,,0.272969,52.09059,0.025,0.0189,0.653
Kepler-344 c,,0.490824,125.596809,,0.0260126,0.263181
HD 13189 b,1.17,1.25186,471.6,0.27,7.12332,
HD 60532 b,1.44,0.759258,201.3,0.28,1.0348,
Kepler-1321 b,0.54,0.0794372,11.12830484,0,0.0802404,0.439
Kepler-570 b,0.93,0.0505272,4.301662,0,0.0191406,0.219
Kepler-1151 b,0.88,0.305198,65.6478424,0,0.0166923,0.198
HAT-P-11 b,0.81,0.0525443,4.8878162,0.198,0.0825354,0.422
Kepler-406 b,1.07,0.0361437,2.42629,0,0.0199792,0.127576
Kepler-171 b,,0.0506781,4.166972,,0.0178911,0.208761
Kepler-627 b,1.3,0.252724,40.6994443,0,0.0434306,0.333
Kepler-330 b,,0.0799685,8.25978,,0.00829825,0.120439
HD 104067 b,0.791,0.264333,55.806,0,0.185935,
Kepler-1452 b,1.41,0.268995,42.913751,0,0.0222358,0.241
Kepler-229 b,,0.0664249,6.252972,,0.0165098,0.196271
Kepler-638 b,0.88,0.0624727,6.07972888,0,0.0134548,0.163
Kepler-144 c,,0.0914719,10.104665,,0.00829825,0.120439
Kepler-1372 b,0.98,0.023292,1.31155557,0,0.00668223,0.113
Kepler-758 e,1.16,0.083574,8.1934719,0,0.0124263,0.136
HD 20794 b,0.7,0.120738,18.315,0,0.00848679,
Kepler-94 b,0.81,0.033677,2.50806,0,0.0341063,0.313113
Kepler-115 c,,0.0846204,8.990889,,0.0208911,0.231956
Kepler-320 c,,0.134093,17.934937,,0.00871939,0.122223
Kepler-1478 b,1.04,0.174395,26.0840594,0,0.0127496,0.154
HD 195019 b,1.025,0.136688,18.20132,0.0138,3.57989,
Kepler-274 c,,0.202153,33.197861,,0.0135483,0.164154
Kepler-1627 b,0.87,0.0696812,7.20283653,0,0.0421671,0.329
GJ 832 b,0.45,3.56153,3657,0.08,0.684002,
Kepler-889 b,1.14,0.0492984,3.744439,0,0.00392895,0.097
Kepler-26 e,,0.254259,46.827915,,0.0186399,0.215006
GJ 667 C b,0.33,0.0504277,7.1999,0.15,0.0174951,
Kepler-254 d,,0.138108,18.746477,,0.0196646,0.223035
Kepler-592 b,1.04,0.0395795,2.82019241,0,0.0183949,0.213
CoRoT-19 b,1.21,0.0516604,3.89713,0.047,1.10792,1.29
Kepler-264 b,,0.231966,40.806231,,0.0333072,0.297083
Kepler-604 b,1.02,0.172254,25.85501786,0,0.020755,0.231
Kepler-557 b,1.11,0.048527,3.70598955,0,0.021778,0.238
Kepler-1237 b,0.94,0.369378,84.5733226,0,0.024536,0.255
Kepler-122 c,,0.105218,12.465988,,0.115399,0.523686
Kepler-142 b,,0.0313162,2.024152,,0.014692,0.177536
alpha Ari b,1.33,1.1296,380,0.25,1.71662,
Kepler-1450 b,0.71,0.251,54.5094166,0,0.0126737,0.153
Kepler-148 d,0,0,51.84688575,0,0.428344,0.774
Kepler-1148 b,0.81,0.0194926,1.10446351,0,0.0125233,0.151
Kepler-240 c,,0.0779794,7.953528,,0.0165098,0.196271
Kepler-545 b,1.04,0.111023,13.24934059,0,0.0220818,0.24
61 Vir b,0.942,0.05006,4.215,0.12,0.016075,
Kepler-298 b,,0.0936962,10.475464,,0.014454,0.174859
HD 210702 b,1.71,1.17218,354.29,0.036,1.86459,
Kepler-1299 b,0.94,0.140972,19.9400874,0,0.0265453,0.266
Kepler-1564 b,0.93,0.131467,18.0540381,0,0.0109866,0.131
Kepler-363 d,,0.102192,11.932125,,0.0151834,0.182889
HAT-P-4 b,1.248,0.0443853,3.056536,0,0.671507,1.274
Kepler-1414 b,0.8,0.0420065,3.51576315,0,0.00609283,0.11
Kepler-485 b,1.07,0.0438587,3.2432598,0,1,1.286
HAT-P-21 b,0.947,0.0494951,4.124481,0.228,4.07833,1.024
Kepler-398 d,0,0,6.83437001,0,0.00189081,0.079
Kepler-1180 b,1.09,0.132431,16.8601286,0,0.0147338,0.178
Kepler-1388 b,0.63,0.0893266,12.2854603,0,0.020755,0.231
Kepler-215 d,,0.192566,30.864423,,0.0184218,0.213222
Kepler-579 b,0.99,0.0885238,9.66857723,0,0.0147338,0.178
Kepler-232 c,,0.0990113,11.379349,,0.0463015,0.34169
Kepler-1009 b,0.59,0.0829006,11.35011917,0,0.0162741,0.194
Kepler-346 b,,0.0682408,6.511127,,0.0216742,0.237309
Kepler-330 c,,0.124035,15.955387,,0.0143757,0.173967
Kepler-1233 b,1.16,0.260643,45.1263042,0,0.0208973,0.232
Kepler-1416 b,1.09,0.0263353,1.49514952,0,0.00189081,0.079
alpha Cen B b,0.934,0.0418506,3.2357,0,0.00354639,
Kepler-1183 b,1,0.182625,28.5057189,0,0.0240196,0.252
mu Ara b,1.147,1.5273,643.25,0.128,1.74552,
TYC 1422-614-1 c,1.15,1.39588,559.3,0.048,10,
Kepler-1109 b,1.05,0.223437,37.6467384,0,0.0163773,0.195
Kepler-830 b,1.07,0.10078,11.29695137,0,0.0125983,0.152
WASP-45 b,0.909,0.0405459,3.1260876,0,1.00657,1.16
Kepler-916 b,0.85,0.188012,32.2968798,0,0.0129801,0.157
Kepler-725 b,0.88,0.218045,39.64317811,0,0.623509,0.948
Kepler-428 b,0.87,0.0432987,3.52563254,0,1.27,1.08
Kepler-1171 b,1.58,0.0291019,1.44259224,0,0.0203354,0.228
Kepler-1093 c,1.13,0.408538,89.722292,0,0.0144664,0.175
HD 73526 c,1.014,1.02831,377.8,0.14,2.4209,
HD 108341 b,0.843,2.00715,1129,0.85,3.4773,
Kepler-1330 b,0.97,0.090566,10.10769068,0,0.0122275,0.147
Kepler-382 c,,0.103505,12.162701,,0.011856,0.14185
Kepler-667 b,0.91,0.227107,41.43962808,0,0.0739707,0.422
Kepler-495 b,0.86,0.0421891,3.41303622,0,0.09114,0.467
Kepler-333 c,,0.163234,24.08821,,0.00422638,0.0990276
Kepler-17 b,1.16,0.0267923,1.4857108,0,2.47943,1.33
14 Her b,1.066,2.93362,1773.4,0.369,5.21486,
HAT-P-33 b,1.375,0.0499317,3.474474,0,0.763256,1.686
Kepler-692 b,0.9,0.147513,21.81293494,0,0.028747,0.277
Kepler-1223 b,0.8,0.116802,16.301259,0,0.00590412,0.109
Kepler-1232 b,0.92,0.170393,26.7839183,0,0.014205,0.172
Kepler-805 b,1.19,0.204059,30.8638931,0,0.0250657,0.258
Kepler-166 c,,0.206443,34.260281,,0.0183139,0.212329
Kepler-1398 b,1.13,0.040381,2.78815679,0,0.00197713,0.08
Kepler-1629 b,1.01,0.0484507,3.87595807,0,0.00117254,0.069
Kepler-835 b,1.08,0.101821,11.41909375,0,0.0235163,0.249
Kepler-992 b,0.8,0.134576,20.16034462,0,0.0120821,0.145
Kepler-1420 b,0.82,0.0650994,6.69960006,0,0.00688654,0.114
OGLE-05-169L b,0.49,3.41991,3300,,0.04,
HIP 79431 b,0.49,0.358346,111.7,0.29,2.11299,
Kepler-562 b,0.93,0.13125,18.00931444,0,0.0903378,0.465
Kepler-1476 b,0.98,0.0923741,10.35863224,0,0.0123746,0.149
Kepler-870 b,1.01,0.151158,21.3587621,0,0.0233514,0.248
Kepler-1155 b,1.03,0.205268,33.469743,0,0.0150076,0.181
HD 171238 b,0.943,2.54268,1523,0.4,2.60901,
Kepler-1292 b,0.95,0.0424409,3.27646405,0,0.0133743,0.162
Kepler-1410 b,0.63,0.2596,60.866168,0,0.0131362,0.159
Kepler-272 c,,0.0650321,6.057342,,0.0131908,0.159693
Kepler-157 c,,0.111181,13.5405,,0.0168894,0.199839
HIP 5158 b,0.78,0.887919,345.72,0.52,1.42633,
Kepler-661 b,0.7,0.0575639,6.02930132,0,0.0281267,0.274
Kepler-308 c,,0.121047,15.38231,,0.0161415,0.192702
WASP-46 b,0.956,0.0244921,1.43037,0,2.10232,1.31
Kepler-800 b,0.85,0.108362,14.13176026,0,0.0243624,0.254
Kepler-157 b,,0.028229,1.732342,,0.00769114,0.117763
Kepler-1268 b,1.06,0.237227,40.9903986,0,0.0150076,0.181
Kepler-1034 b,0.83,0.0970652,12.12400943,0,0.017125,0.202
Kepler-475 b,0.86,0.0396151,3.10550819,0,0.0195285,0.222
Kepler-1541 b,0.86,0.0769479,8.40691199,0,0.00485109,0.103
GJ 849 b,0.49,2.35317,1882,0.04,0.830886,
Kepler-587 b,0.92,0.093804,10.94027841,0,0.0167991,0.199
WASP-84 b,0.842,0.0771322,8.5234865,0,0.69431,0.942
Kepler-52 d,,0.215129,36.445171,,0.0143757,0.173967
Kepler-1190 b,0.76,0.0854126,10.45843441,0,0.00796813,0.119
Kepler-197 c,,0.0929448,10.349695,,0.00604207,0.109733
Kepler-599 b,0.83,0.115101,15.65562652,0,0.0241903,0.253
Kepler-163 b,,0.0770446,7.810937,,0.00347154,0.0936747
Kepler-121 c,,0.23273,41.008011,,0.0171819,0.202516
Kepler-191 b,,0.0904732,9.939632,,0.00809262,0.119547
Kepler-123 b,,0.130568,17.232366,,0.0258466,0.262289
Kepler-1123 b,0.93,0.0508228,4.33946454,0,0.0123746,0.149
Kepler-320 b,,0.0806883,8.371554,,0.00464108,0.101704
HAT-P-1 b,1.133,0.0553326,4.4652934,0,0.532369,1.242
Kepler-186 f,0.478,0.392576,129.9459,0.01,0.00421308,0.098939
Kepler-1025 b,1.09,0.22494,37.3229493,0,0.014644,0.177
Kepler-201 b,,0.170313,25.672083,,0.0192003,0.219467
OGLE2-TR-L9 b,1.52,0.0413279,2.4855335,0,4.57442,1.61
Kepler-54 b,0.51,0.0626016,8.0109434,,0.015593,0.187182
Kepler-973 b,0.86,0.251269,49.6077331,0,0.0144664,0.175
Kepler-355 c,,0.170712,25.762294,,0.0223552,0.24177
Kepler-1472 b,1.16,0.232959,38.1312831,0,0.014034,0.17
Kepler-1135 b,0.96,0.3493,76.957857,0,0.0136174,0.165
Kepler-375 c,,0.144132,19.986326,,0.0215411,0.236417
Kepler-1209 b,1.23,0.181042,25.369116,0,0.0121297,0.135
Kepler-1019 b,0.7,0.0218627,1.41122985,0,0.0107116,0.13
Kepler-484 b,0.96,0.0898835,10.04556931,0,0.0172355,0.203
Kepler-137 b,,0.0811044,8.436387,,0.0110268,0.131145
Kepler-85 d,,0.133985,17.91323,,0.00554835,0.107057
Kepler-1456 b,0.64,0.116426,18.1373829,0,0.00468851,0.102
Kepler-224 c,,0.0640814,5.925003,,0.0290307,0.278348
GJ 3341 b,0.47,0.0892579,14.207,0.31,0.0208212,
Kepler-1290 b,0.95,0.0539434,4.69500134,0,0.00991268,0.127
Kepler-962 b,0.93,0.100445,12.05707239,0,0.0145548,0.176
WASP-22 b,1.1,0.0468682,3.53269,0.023,0.559059,1.12
Kepler-468 b,0.96,0.220045,38.47875707,0,1,1.19
Kepler-640 b,1.01,0.155326,22.24813967,0,0.0203354,0.228
Kepler-503 b,1.01,0.073611,7.25844721,0,0.145002,0.559
WASP-2 b,0.88,0.0312729,2.1522254,0,0.908659,1.077
Kepler-392 b,,0.0598046,5.341853,,0.00291583,0.089214
Kepler-247 c,,0.087412,9.439452,,0.0548224,0.364885
Kepler-1076 b,0.79,0.0607115,6.14727918,0,0.00129651,0.071
HD 164922 b,0.927,2.10091,1155,0.05,0.357927,
Kepler-271 b,,0.0588746,5.217738,,0.00192504,0.0794005
Kepler-30 c,0.99,0.300013,60.3231,0.0111,2.01385,1.09635
Kepler-190 c,,0.0473476,3.763024,,0.0107805,0.130252
tau Gru b,1.238,2.51797,1311,0.07,1.2147,
WASP-34 b,1.01,0.0520747,4.3176782,0.038,0.583354,1.22
Kepler-397 c,,0.516293,135.498527,,0.100676,0.551343
HD 96063 b,1.41,1.11312,361.1,0,1.14167,
Kepler-490 b,1.08,0.0442246,3.26869515,0,1,1.039
Kepler-1466 b,1.01,0.194499,31.1750448,0,0.0115843,0.138
Kepler-630 b,1.02,0.584174,161.4743937,0,0.0302544,0.284
Kepler-423 b,1.07,0.038671,2.68432848,0.0102,1,1.2
HAT-P-22 b,0.916,0.0414094,3.21222,0.016,2.15137,1.08
51 Eri b,1.75,,,,,0.76
Kepler-1374 b,0.85,0.0897541,10.65276707,0,0.0173469,0.204
Kepler-1041 b,1.06,0.169505,24.7576421,0,0.0257931,0.262
WASP-28 b,1.021,0.0446486,3.40883,0,0.907,1.213
Kepler-221 b,,0.0388408,2.795906,,0.0126401,0.152556
CoRoT-7 b,0.93,0.0171898,0.85359163,0,0.014,0.143989
Kepler-1418 b,0.77,0.142864,22.4764425,0,0.0123008,0.148
HD 5608 b,1.66,1.98519,792.6,0.19,1.47372,
Kepler-584 b,1.17,0.221415,35.1810304,0,0.0583181,0.376
Kepler-733 b,0.9,0.143067,20.83424726,0,0.0240196,0.252
Kepler-172 e,,0.209877,35.118736,,0.0230631,0.246231
Kepler-1200 b,0.74,0.0190745,1.11854972,0,0.00364938,0.095
Kepler-178 b,,0.0882572,9.576694,,0.025195,0.258721
Kepler-1207 b,1.06,0.114152,13.68237119,0,0.0120821,0.145
Kepler-147 c,,0.203039,33.416423,,0.0188614,0.21679
Kepler-1096 b,0.66,0.0345893,2.89221751,0,0.00628541,0.111
Kepler-1491 b,1,0.127283,16.5861762,0,0.0121297,0.135
HATS-1 b,0.986,0.0444708,3.446459,0.12,1.86507,1.302
Kepler-1559 b,0.86,0.018261,0.97191543,0,0.00090084,0.064
Kepler-378 c,,0.184331,28.906009,,0.00082692,0.0624498
HD 80606 b,0.958,0.447343,111.4367,0.934,3.89054,1.029
Kepler-471 b,1.49,0.0654845,5.01423457,0,1,1.335
Kepler-158 b,,0.127912,16.709184,,0.0157841,0.189134
Kepler-1511 b,1.17,0.167934,23.2382792,0,0.0124487,0.15
Kepler-45 b,0.59,0.0298817,2.455239,0.11,0.511499,0.96
Kepler-68 b,1.079,0.0617749,5.398763,0,0.026183,0.205901
Kepler-1195 b,0.74,0.0737068,8.49642241,0,0.0154788,0.186
Kepler-665 b,0.79,0.114939,16.01310205,0,0.0208973,0.232
Kepler-950 b,1.02,0.420795,98.7180406,0,0.305222,0.801
Kepler-308 b,,0.0889821,9.694928,,0.0157841,0.189134
WASP-78 b,1.33,0.0361391,2.17517656,0,0.883997,1.7
Kepler-108 c,,0.647542,190.323494,,0.224011,0.729771
HD 86264 b,1.4,2.84117,1475,0.7,6.62738,
Kepler-942 b,0.81,0.230681,44.96417488,0,0.0158698,0.19
Kepler-266 c,,0.443078,107.723601,,0.0481581,0.347043
Kepler-1094 b,1.14,0.373544,78.1000231,0,0.0302544,0.284
Kepler-1194 b,0.94,0.122862,16.22371307,0,0.0121297,0.135
8 UMi b,1.8,0.490206,93.4,0.06,1.52093,
Kepler-1291 b,0.84,0.0776941,8.63043276,0,0.0123008,0.148
Kepler-239 c,,0.287238,56.228098,,0.019783,0.223927
Kepler-524 b,1.09,0.0803909,7.97419807,0,0.014034,0.17
HD 82943 c,1.133,0.742283,219.3,0.425,1.58936,
Kepler-205 c,,0.145668,20.306546,,0.0121773,0.146311
Kepler-319 b,,0.0522529,4.362705,,0.0121124,0.145419
Kepler-162 c,,0.141525,19.446355,,0.0273861,0.270319
Kepler-126 c,,0.153051,21.869741,,0.0117926,0.140958
HD 216536 b,1.36,0.608531,148.6,0.38,1.48058,
Kepler-728 b,0.95,0.0617018,5.74347727,0,0.0335331,0.298
Kepler-384 c,,0.248874,45.348269,,0.00450004,0.100812
Kepler-669 b,1.15,0.0527424,4.12554687,0,0.0772573,0.431
Kepler-1046 b,1.04,0.117226,14.37508035,0,0.0126737,0.153
iota Hor b,1.145,0.92376,302.8,0.14,2.04683,
Kepler-716 b,0.83,0.0874713,10.37168453,0,0.0252452,0.259
HD 37124 d,0.85,2.80658,1862,0.16,0.68665,
Kepler-853 b,1.3,0.0794128,7.16892463,0,0.0125233,0.151
Kepler-690 b,1.11,0.0793434,7.74809437,0,0.118744,0.531
Kepler-1500 b,1,0.119208,15.0330105,0,0.00553813,0.107
Kepler-1316 b,1.04,0.392209,87.9732136,0,0.0383032,0.316
Kepler-921 b,0.93,0.263744,51.300634,0,0.0247111,0.256
HD 192263 b,0.804,0.152945,24.3556,0.055,0.639382,
K2-3 c,0.601,0.139869,24.6454,,0.0129801,0.157
HD 204313 b,1.045,3.07131,1920.1,0.23,3.50088,
Kepler-1079 b,1.08,0.112404,13.24503188,0,0.0120821,0.145
Kepler-771 b,1.03,0.0838281,8.73485836,0,0.0133743,0.162
Kepler-212 c,,0.196459,31.805174,,0.0227766,0.244446
Kepler-53 c,0.98,0.221868,38.5583038,,0.0299365,0.282556
Kepler-707 b,0.8,0.0310798,2.23749275,0,0.00796813,0.119
Kepler-1211 b,0.96,0.0955953,11.01816836,0,0.0201979,0.227
Kepler-321 b,,0.0565776,4.915379,,0.0130508,0.157909
Kepler-1442 b,1.34,0.405305,81.4162941,0,0.0495748,0.351
Kepler-402 d,,0.0841819,8.921099,,0.00893492,0.123115
Kepler-339 d,,0.0941898,10.558345,,0.00508144,0.10438
Kepler-407 b,1,0.0149747,0.6693109,0,0,0.095459
Kepler-756 b,0.82,0.0209702,1.22486632,0,0.00437411,0.1
TrES-3 b,0.915,0.0227178,1.30619,0,1.91,1.336
Kepler-188 b,,0.0317043,2.061897,,0.0124398,0.14988
HIP 14810 b,0.99,0.0692271,6.673859,0.142483,3.87441,
Kepler-695 b,0.84,0.0387537,3.04033042,0,0.542157,0.822
Kepler-10 c,0.895,0.239656,45.29485,,0.054117,0.209653
HD 90156 b,0.84,0.249855,49.77,0.31,0.0565295,
Kepler-786 b,0.81,0.259117,53.5293487,0,0.0188877,0.217
Kepler-259 c,,0.217013,36.924931,,0.0222169,0.240878
Kepler-444 b,0.758,0.0419153,3.6001053,0.16,0.000134008,0.0367
Kepler-550 b,0.87,0.078424,8.60010411,0,0.0642153,0.394
Kepler-304 d,,0.0887283,9.653471,,0.0229193,0.245339
Kepler-150 e,,0.192408,30.826557,,0.0290307,0.278348
Kepler-218 c,,0.246495,44.699576,,0.029411,0.280132
Pr 211 b,0.952,0.0320419,2.1451,0,1.84394,
Kepler-203 b,,0.0421675,3.162697,,0.0205131,0.22928
Kepler-981 b,0.98,0.0527478,4.46975774,0,0.0175728,0.206
Kepler-6 b,1.209,0.0456089,3.234723,0,0.669376,1.323
Kepler-501 b,1.03,0.0626287,5.64067757,0,0.060903,0.384
Kepler-244 d,,0.14444,20.050401,,0.0175824,0.206084
24 Sex c,1.81,2.24032,910,0.412,1.51716,
Kepler-358 b,,0.20564,34.060467,,0.0224946,0.242662
Kepler-373 c,,0.127997,16.725948,,0.00621274,0.110625
HATS-13 b,0.962,0.0405861,3.0440499,,0.542398,1.212
Kepler-466 c,1.04,0.0475122,3.70921385,0,0.00648186,0.112
Kepler-1074 b,0.6,0.054174,5.94566534,0,0.00648186,0.112
Kepler-807 b,1.04,0.476837,117.9310878,0,0.564429,0.93
HD 60532 c,1.44,1.57999,604,0.02,2.46312,
Kepler-299 b,,0.0400468,2.927128,,0.00769114,0.117763
Kepler-939 b,0.88,0.11345,14.878296,0,0.0129028,0.156
Kepler-1389 b,0.81,0.391079,99.2530951,0,0.0130579,0.158
Kepler-140 c,,0.396968,91.353282,,0.0132614,0.160585
Kepler-23 d,,0.12048,15.274299,,0.0165098,0.196271
Kepler-1048 b,0.75,0.0645763,6.92101021,0,0.0120099,0.144
Kepler-89 c,1.277,0.101317,10.423648,0.43,0.0295756,0.3937
WASP-95 b,1.11,0.0341288,2.184673,0,1.13,1.21
Kepler-831 b,0.99,0.0616673,5.62153941,0,0.00668223,0.113
HD 68988 b,1.124,0.0692771,6.27711,0.1249,1.79992,
Kepler-84 b,1,0.08295,8.726,,0.0172355,0.203
Kepler-637 b,1.64,0.187767,23.20584623,0,0.0746947,0.424
HAT-P-26 b,0.816,0.0478684,4.234516,0.124,0.0586489,0.565
Kepler-1252 b,1.06,0.121659,15.0540329,0,0.0123746,0.149
Kepler-292 f,,0.148181,20.834237,,0.0179955,0.209653
Kepler-847 b,0.83,0.0324471,2.3432319,0,0.00518721,0.105
Kepler-1355 b,0.88,0.0222195,1.28958811,0,0.0107116,0.13
Kepler-20 e,0.912,0.063351,6.098493,0,0.00175601,0.0773688
Kepler-296 d,,0.143477,19.850242,,0.0172808,0.203408
HD 149143 b,1.2,0.0530508,4.072,0.016,1.32811,
Kepler-688 b,0.98,0.0481308,3.89593684,0,0.696016,0.871
Kepler-62 d,0.69,0.119499,18.16406,0.0948683,0,0.173812
Kepler-713 b,0.98,0.0738933,7.411141,0,0.019398,0.221
HD 79498 b,1.06,3.13296,1966.1,0.59,1.34632,
Kepler-89 e,1.277,0.304548,54.32031,0.019,0.0409024,0.5978
Kepler-722 b,1.03,0.0505771,4.09357325,0,0.0213319,0.235
Kepler-556 b,1,0.100994,11.72292176,0,0.0169068,0.2
Kepler-883 b,1.06,0.110239,12.98495573,0,0.0131362,0.159
Kepler-1181 b,1.17,0.0594394,4.89337519,0,0.0117248,0.14
Kepler-1336 c,0.94,0.061725,5.77721211,0,0.0126737,0.153
Kepler-897 b,1.03,0.079369,8.0472642,0,0.0183949,0.213
Kepler-298 d,,0.355666,77.473633,,0.0196646,0.223035
Kepler-269 b,,0.0596916,5.326718,,0.019315,0.220359
Kepler-248 b,,0.0668155,6.308205,,0.0272098,0.269426
HD 181433 c,0.78,1.75604,962,0.28,0.640416,
Kepler-1375 b,1.47,0.0493278,3.3004192,0,0.0128259,0.155
Kepler-454 b,1.028,0.0951314,10.57,0,0.0215859,0.21
70 Vir b,1.101,0.483601,116.6884,0.4007,7.46144,
HD 102365 b,0.89,0.463328,122.1,0.34,0.0509774,
BD -08 2823 b,0.74,0.0558236,5.6,0.15,0.045941,
Kepler-1276 b,1.14,0.110538,12.5720095,0,0.0053608,0.106
Kepler-797 b,0.96,0.174066,27.07237711,0,0.0162741,0.194
Kepler-160 b,,0.0518266,4.309427,,0.0115417,0.13739
Kepler-1066 b,0.98,0.03015,1.93155984,0,0.0181548,0.211
Kepler-1318 b,0.73,0.629,213.257663,0,0.028747,0.277
CoRoT-11 b,1.27,0.0440549,2.99433,0,2.34813,1.43
Kepler-369 c,,0.118353,14.871572,,0.00960182,0.125792
Kepler-142 d,,0.235751,41.809118,,0.0161415,0.192702
Kepler-1415 b,0.89,0.0139284,0.63642408,0,0.00709482,0.115
Kepler-398 b,,0.0499821,4.081423,,0.00225059,0.082969
Kepler-443 b,0.738,0.558942,177.6693,0,0.0177875,0.20787
Kepler-746 b,0.91,0.0435651,3.48159251,0,0.00422224,0.099
Kepler-1348 b,1.04,0.180967,27.5722742,0,0.0142915,0.173
Kepler-299 d,,0.119323,15.054786,,0.0136944,0.165938
GJ 436 b,0.452,0.0287188,2.64385,0.16,0.0726979,0.3767
Kepler-1231 b,1.01,0.0936589,10.41725184,0,0.00991268,0.127
Kepler-142 c,,0.0553921,4.761702,,0.0245625,0.255152
Kepler-401 d,0,0,184.256405,0,0.0172355,0.203
Kepler-815 b,1.25,0.0883216,8.57503552,0,0.055479,0.367
Kepler-578 b,0.87,0.0257374,1.6168837,0,0.0147338,0.178
Kepler-181 c,,0.0517683,4.302149,,0.014692,0.177536
XO-2S b,0.982,0.134393,18.157,0.18,0.259,
Kepler-364 b,,0.170638,25.745718,,0.011604,0.138282
Kepler-173 c,,0.0783205,8.005777,,0.0188614,0.21679
Kepler-609 b,1.09,0.070302,6.52121067,0,0.0337813,0.299
Kepler-1606 b,0.9,0.638509,196.435224,0,0.015383,0.185
Kepler-290 b,,0.11685,14.589347,,0.0169862,0.200732
Kepler-926 b,1.01,0.273799,52.0688601,0,0.0175728,0.206
Kepler-544 b,1.16,0.158582,21.41616926,0,0.0157709,0.189
WASP-37 b,0.925,0.0446312,3.577469,0,1.79362,1.16
Kepler-223 c,,0.0899174,9.848183,,0.0147725,0.178428
HD 6718 b,0.96,3.55427,2496,0.1,1.5591,
Kepler-224 e,,0.137602,18.643577,,0.0145328,0.175752
Kepler-322 c,,0.0520493,4.337234,,0.0123736,0.148987
HD 33636 b,1.017,3.26519,2127.7,0.4805,9.26951,
Kepler-477 b,0.87,0.093078,11.11990653,0,0.015383,0.185
Kepler-1327 b,1.02,0.119224,14.88801098,0,0.0132944,0.161
Kepler-163 c,,0.150603,21.347262,,0.0170837,0.201624
Kepler-1128 b,0.94,0.29908,61.6178167,0,0.0412428,0.326
HAT-P-40 b,1.512,0.060845,4.457243,0,0.6202,1.73
HD 240237 b,1.69,1.91887,745.7,0.4,5.31949,
Kepler-494 b,1.1,0.0809789,8.02511821,0,0.218701,0.637
Kepler-169 f,,0.38452,87.090195,,0.0206381,0.230172
Kepler-283 b,,0.0968462,11.008151,,0.0158724,0.190026
rho CrB b,0.965,0.225692,39.8449,0.057,1.06409,
Kepler-214 b,,0.122502,15.660544,,0.0210192,0.232849
Kepler-700 b,0.98,0.363536,80.8720639,0,0.12013,0.534
Kepler-1549 b,0.88,0.672832,214.886545,0,0.020474,0.229
Kepler-730 b,1,0.0681049,6.49168426,0,0.542157,0.822
Kepler-1515 b,1.3,0.764923,214.3114164,0,0.383964,0.852
Kepler-1424 b,1.02,0.188549,29.6091744,0,0.00485109,0.103
Kepler-314 b,,0.0356743,2.461069,,0.00150361,0.0740476
Kepler-188 c,,0.0645963,5.996553,,0.0303861,0.284593
Kepler-731 b,1.03,0.0485975,3.85560355,0,1,1.238
Kepler-1338 b,1.04,0.018961,0.93511806,0,0.00215846,0.082
Kepler-233 b,,0.0813349,8.472382,,0.0188614,0.21679
Kepler-1530 c,0.92,0.0580264,5.3227406,0,0.0122275,0.147
Kepler-118 b,,0.0751093,7.518496,,0.014454,0.174859
